# kernel32.dll exports and whether Windows XP SP3 (5.1) has them.
# Source: Geoff Chappell, 'KERNEL32 Functions' (geoffchappell.com/studies/windows/win32/kernel32/api),
# column = version range the export exists in. Format: name<TAB>xp|no<TAB>versions
# Generated once; re-run scripts/fetch-exports.py to refresh.
FindNextStreamW	no	5.2 and higher
FindNextVolumeA	xp	5.0 and higher
FindNextVolumeMountPointA	xp	5.0 and higher
FindNextVolumeMountPointW	xp	5.0 and higher
FindNextVolumeW	xp	5.0 and higher
FindPackagesByPackageFamily	no	6.3 and higher
FindResourceA	xp	3.51 and higher
FindResourceExA	xp	3.51 and higher
FindResourceExW	xp	3.51 and higher
FindResourceW	xp	3.51 and higher
FindStringOrdinal	no	6.1 and higher
FindVolumeClose	xp	5.0 and higher
FindVolumeMountPointClose	xp	5.0 and higher
FlsAlloc	no	5.2 and higher
FlsFree	no	5.2 and higher
FlsGetValue	no	5.2 and higher
FlsSetValue	no	5.2 and higher
FlushConsoleInputBuffer	xp	3.51 and higher
FlushFileBuffers	xp	3.51 and higher
FlushInstructionCache	xp	3.51 and higher
FlushProcessWriteBuffers	no	6.0 and higher
FlushViewOfFile	xp	3.51 and higher
FoldStringA	xp	3.51 and higher
FoldStringW	xp	3.51 and higher
FormatApplicationUserModelId	no	6.3 and higher
FormatMessageA	xp	3.51 and higher
FormatMessageW	xp	3.51 and higher
FreeConsole	xp	3.51 and higher
FreeEnvironmentStringsA	xp	3.51 and higher
FreeEnvironmentStringsW	xp	3.51 and higher
FreeLSCallback	no	4.0 to 4.90 (Windows only)
FreeLibrary	xp	3.51 and higher
FreeLibraryAndExitThread	xp	3.51 and higher
FreeLibraryWhenCallbackReturns	no	6.0 and higher
FreeMemoryJobObject	no	10.0 and higher
FreeResource	xp	3.51 and higher
FreeSLCallback	no	4.0 to 4.90 (Windows only)
FreeUserPhysicalPages	xp	5.0 and higher
FreeVirtualBuffer	no	3.51 to 5.2 before Windows Server 2003 SP1 (NT only)
GenerateConsoleCtrlEvent	xp	3.51 and higher
GetACP	xp	3.51 and higher
GetActiveProcessorCount	no	6.1 and higher
GetActiveProcessorGroupCount	no	6.1 and higher
GetAppContainerAce	no	6.2 and higher
GetAppContainerNamedObjectPath	no	6.2 and higher
GetApplicationRecoveryCallback	no	6.0 and higher
GetApplicationRecoveryCallbackWorker	no	6.2 and higher
GetApplicationRestartSettings	no	6.0 and higher
GetApplicationRestartSettingsWorker	no	6.2 and higher
GetApplicationUserModelId	no	6.2 and higher
GetAtomNameA	xp	3.51 and higher
GetAtomNameW	xp	3.51 and higher
GetBinaryType	xp	3.51 and higher
GetBinaryTypeA	xp	3.51 and higher
GetBinaryTypeW	xp	3.51 and higher
GetCPFileNameFromRegistry	xp	5.1 from Windows XP SP1, to 6.0
GetCPInfo	xp	3.51 and higher
GetCPInfoExA	xp	4.10 and higher
GetCPInfoExW	xp	4.10 and higher
GetCachedSigningLevel	no	6.2 and higher
GetCalendarDateFormat	no	6.0 and higher
GetCalendarDateFormatEx	no	6.0 and higher
GetCalendarDaysInMonth	no	6.0 and higher
